out_ph_range
---------------------------
26066...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '283'}
26674...{'ionic strength': '10', 'ph': '3.2', 'pressure': '1', 'temperature': '298'}
27354...{'ionic strength': '0', 'ph': '0', 'pressure': '1', 'temperature': '300'}
27356...{'ionic strength': '0', 'ph': '0', 'pressure': '1', 'temperature': '300'}
27435...{'ionic strength': '0.05', 'ph': '4', 'pressure': '1', 'temperature': '273'}
27877...{'ionic strength': '0', 'ph': '4.0', 'pressure': '1', 'temperature': '303'}
30028...{'ionic strength': '20', 'ph': '4.6', 'pressure': '1', 'temperature': '283'}
30029...{'ionic strength': '20', 'ph': '1.5', 'pressure': '1', 'temperature': '283'}
30033...{'ionic strength': '3', 'ph': '3.0', 'pressure': '585', 'temperature': '298'}
30067...{'ionic strength': '75', 'ph': '4.8', 'pressure': '1', 'temperature': '293'}
30069...{'ionic strength': '75', 'ph': '4.8', 'pressure': '1', 'temperature': '293'}
30124...{'ionic strength': '0', 'ph': '4.0', 'pressure': '1', 'temperature': '293'}
30138...{'ionic strength': '-1', 'ph': '3.0', 'pressure': '1', 'temperature': '298'}
30140...{'ionic strength': '-1', 'ph': '3.0', 'pressure': '1', 'temperature': '298'}
30141...{'ionic strength': '-1', 'ph': '3.0', 'pressure': '1', 'temperature': '298'}
30142...{'ionic strength': '-1', 'ph': '3.0', 'pressure': '1', 'temperature': '298'}
30143...{'ionic strength': '-1', 'ph': '3.0', 'pressure': '1', 'temperature': '298'}
30144...{'ionic strength': '-1', 'ph': '3.0', 'pressure': '1', 'temperature': '298'}
30145...{'ionic strength': '-1', 'ph': '3.0', 'pressure': '1', 'temperature': '283'}
30146...{'ionic strength': '-1', 'ph': '3.0', 'pressure': '1', 'temperature': '298'}
30152...{'ionic strength': '0', 'ph': '4.1', 'pressure': '1', 'temperature': '283'}
30164...{'ionic strength': '-1', 'ph': '4.0', 'pressure': '1', 'temperature': '298'}
30190...{'ionic strength': '-1', 'ph': '4.0', 'pressure': '1', 'temperature': '283'}
30204...{'ionic strength': '0.075', 'ph': '4.8', 'pressure': '1', 'temperature': '293'}
30209...{'ionic strength': '0', 'ph': '4.62', 'pressure': '1', 'temperature': '298'}
30214...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '273.15'}
30215...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '293.15'}
